cell_type,gene,rank
Neuron,ADGRB3,15
Neuron,NRXN1,16
Neuron,SYT1,17
Neuron,MT-CO2,18
Neuron,MT-CO3,19
Neuron,GRIK2,20
Neuron,IL1RAPL1,21
Neuron,LRRTM4,22
Neuron,NRG3,23
Neuron,KAZN,24
Neuron,ANKS1B,25
Neuron,LRP1B,26
Neuron,MT-CO1,27
Neuron,FRMD4A,28
Neuron,LINC00632,29
Neuron,FGF14,30
Neuron,PCDH9,31
Neuron,TENM2,32
Neuron,AUTS2,33
Neuron,RBFOX3,34
Neuron,NALF1,35
Neuron,LUC7L3,36
Neuron,GALNTL6,37
Neuron,ZNF385D,38
Neuron,MEG3,39
Neuron,MACROD2,40
Neuron,GRIK1,41
Neuron,CNTN5,42
Neuron,MYT1L,43
Neuron,LSAMP,44
Neuron,KCND2,45
Neuron,PTPRD,46
Neuron,DLGAP2,47
Neuron,PDE4D,48
Neuron,GRID2,49
Neuron,DPP6,50
Neuron,OPCML,51
Neuron,RBM25,52
Neuron,FTX,53
Neuron,SGCZ,54
Neuron,STXBP5L,55
Neuron,ARPP21,56
Neuron,MT-ATP6,57
Neuron,MAGI2,58
Neuron,RIMS2,59
Neuron,PTPRN2,60
Neuron,RORA,61
Neuron,PCLO,62
Neuron,NLGN1,63
Neuron,MAP1B,64
Neuron,CHD5,65
Neuron,SYNE1,66
Neuron,ATRNL1,67
Neuron,MT-ND4,68
Neuron,ROBO1,69
Neuron,NEGR1,70
Neuron,KCNQ5,71
Neuron,LINC00486,72
Neuron,PLCB1,73
Neuron,CCSER1,74
Neuron,CDH18,75
Neuron,PPFIA2,76
Neuron,MT-ND3,77
Neuron,CELF2,78
Neuron,CACNA1A,79
Neuron,RALYL,80
Neuron,CSMD3,81
Neuron,PRRC2C,82
Neuron,SNTG1,83
Neuron,TIAM1,84
Neuron,PHACTR1,85
Neuron,KCNMA1,86
Neuron,SYN3,87
Neuron,NKAIN2,88
Neuron,KIRREL3,89
Neuron,LRBA,90
Neuron,CACNA1C,91
Neuron,MACF1,92
Neuron,DST,93
Neuron,LINGO2,94
Neuron,ADGRL3,95
Neuron,ANK2,96
Neuron,LRRC7,97
Neuron,DOCK3,98
Neuron,DAB1,99
Neuron,DMD,100
Oligodendrocyte,MALAT1,1
Oligodendrocyte,PCDH9,2
Oligodendrocyte,IL1RAPL1,3
Oligodendrocyte,RNF220,4
Oligodendrocyte,CTNNA3,5
Oligodendrocyte,PPP2R2B,6
Oligodendrocyte,QKI,7
Oligodendrocyte,DLG2,8
Oligodendrocyte,DST,9
Oligodendrocyte,MAGI2,10
Oligodendrocyte,SLC44A1,11
Oligodendrocyte,NRXN3,12
Oligodendrocyte,ST18,13
Oligodendrocyte,PDE4B,14
Oligodendrocyte,FMNL2,15
Oligodendrocyte,TRIM2,16
Oligodendrocyte,SLC24A2,17
Oligodendrocyte,FRMD5,18
Oligodendrocyte,MOBP,19
Oligodendrocyte,SIK3,20
Oligodendrocyte,SLC5A11,21
Oligodendrocyte,NKAIN2,22
Oligodendrocyte,PTPRD,23
Oligodendrocyte,ELMO1,24
Oligodendrocyte,MAP7,25
Oligodendrocyte,PIP4K2A,26
Oligodendrocyte,CADM2,27
Oligodendrocyte,SLC7A14-AS1,28
Oligodendrocyte,LUC7L3,29
Oligodendrocyte,MBP,30
Oligodendrocyte,TMTC2,31
Oligodendrocyte,DOCK10,32
Oligodendrocyte,PHLPP1,33
Oligodendrocyte,RBFOX1,34
Oligodendrocyte,FRMD4B,35
Oligodendrocyte,MAN2A1,36
Oligodendrocyte,ANK3,37
Oligodendrocyte,NTM,38
Oligodendrocyte,ZBTB20,39
Oligodendrocyte,DNM3,40
Oligodendrocyte,PLCL1,41
Oligodendrocyte,POLR2F,42
Oligodendrocyte,NCAM2,43
Oligodendrocyte,GNG7,44
Oligodendrocyte,MACF1,45
Oligodendrocyte,RBM25,46
Oligodendrocyte,PALM2AKAP2,47
Oligodendrocyte,UNC5C,48
Oligodendrocyte,DPYD,49
Oligodendrocyte,SHTN1,50
Oligodendrocyte,ANK2,51
Oligodendrocyte,AGAP1,52
Oligodendrocyte,ARGLU1,53
Oligodendrocyte,EDIL3,54
Oligodendrocyte,MAP1B,55
Oligodendrocyte,ZEB2,56
Oligodendrocyte,NCKAP5,57
Oligodendrocyte,DIP2B,58
Oligodendrocyte,PLEKHH1,59
Oligodendrocyte,AUTS2,60
Oligodendrocyte,TTLL7,61
Oligodendrocyte,MAP4K4,62
Oligodendrocyte,NCAM1,63
Oligodendrocyte,PRRC2C,64
Oligodendrocyte,TCF12,65
Oligodendrocyte,SEPTIN7,66
Oligodendrocyte,SRCIN1,67
Oligodendrocyte,LINC00486,68
Oligodendrocyte,PDE8A,69
Oligodendrocyte,KIRREL3,70
Oligodendrocyte,PRUNE2,71
Oligodendrocyte,ZNF536,72
Oligodendrocyte,MARCHF1,73
Oligodendrocyte,CLASP2,74
Oligodendrocyte,ARHGAP21,75
Oligodendrocyte,NPAS3,76
Oligodendrocyte,DLG1,77
Oligodendrocyte,FUT8,78
Oligodendrocyte,ANKS1B,79
Oligodendrocyte,LIMCH1,80
Oligodendrocyte,TMEM165,81
Oligodendrocyte,HIP1,82
Oligodendrocyte,ADGRB3,83
Oligodendrocyte,PDE1C,84
Oligodendrocyte,HSP90AA1,85
Oligodendrocyte,CCDC88A,86
Oligodendrocyte,TJP1,87
Oligodendrocyte,XIST,88
Oligodendrocyte,PXK,89
Oligodendrocyte,SPOCK3,90
Oligodendrocyte,SPOCK1,91
Oligodendrocyte,C10ORF90,92
Oligodendrocyte,RERE,93
Oligodendrocyte,APBB2,94
Oligodendrocyte,WWOX,95
Oligodendrocyte,ERBIN,96
Oligodendrocyte,FRYL,97
Oligodendrocyte,PTK2,98
Oligodendrocyte,PEX5L,99
Oligodendrocyte,DOCK5,100
Oligodendrocyte Precursor Cell,MALAT1,1
Oligodendrocyte Precursor Cell,DSCAM,2
Oligodendrocyte Precursor Cell,TNR,3
Oligodendrocyte Precursor Cell,KCNIP4,4
Oligodendrocyte Precursor Cell,OPCML,5
Oligodendrocyte Precursor Cell,LRRC4C,6
Oligodendrocyte Precursor Cell,LHFPL3,7
Oligodendrocyte Precursor Cell,PCDH9,8
Oligodendrocyte Precursor Cell,CSMD1,9
Oligodendrocyte Precursor Cell,LRP1B,10
Oligodendrocyte Precursor Cell,NRXN1,11
Oligodendrocyte Precursor Cell,KAZN,12
Oligodendrocyte Precursor Cell,LSAMP,13
Oligodendrocyte Precursor Cell,NLGN1,14
Oligodendrocyte Precursor Cell,XYLT1,15
Oligodendrocyte Precursor Cell,DPP6,16
