id	category	name	description	provided_by
uuid:ee51299d-8958-5f5b-8bc6-db0378675bd3	biolink:AnatomicalEntity	Endothelial in Middle Cerebral Artery	Endothelial in Middle Cerebral Artery	KIBR; Stanford University
uuid:b3dd1825-d85b-527b-87db-3ae30964cfb3	biolink:AnatomicalEntity	Endothelial in Middle Temporal Gyrus	Endothelial in Middle Temporal Gyrus	KIBR; Stanford University
uuid:5ea1c235-7be4-5529-84fd-eba8cef0a5ba	biolink:AnatomicalEntity	Endothelial in Olfactory Bulb	Endothelial in Olfactory Bulb	KIBR; Stanford University
uuid:00fc4607-a50c-5b08-990c-8fe2ef4dbb8b	biolink:AnatomicalEntity	Endothelial in Orbitofrontal Cortex	Endothelial in Orbitofrontal Cortex	KIBR; Stanford University
uuid:13fb0415-1ad6-57c2-b4d1-246e32011318	biolink:AnatomicalEntity	Endothelial in Parahippocampal Gyrus	Endothelial in Parahippocampal Gyrus	KIBR; Stanford University
uuid:0794b391-75c6-5cc1-8d74-0d57a4cf15e1	biolink:AnatomicalEntity	Endothelial in Periventricular White Matter	Endothelial in Periventricular White Matter	KIBR; Stanford University
uuid:a541dd05-bad1-5dd8-8d85-d8d26297eefe	biolink:AnatomicalEntity	Endothelial in Pons	Endothelial in Pons	KIBR; Stanford University
uuid:12fbcd8c-943b-5a52-90c8-061be9da24be	biolink:AnatomicalEntity	Endothelial in Posterior Cingulate Cortex	Endothelial in Posterior Cingulate Cortex	KIBR; Stanford University
uuid:7a0fd998-43cb-566b-9364-ec0a55351be3	biolink:AnatomicalEntity	Endothelial in Precuneus	Endothelial in Precuneus	KIBR; Stanford University
uuid:a0eda2e5-8691-53a6-a8a1-d99fd0a813c5	biolink:AnatomicalEntity	Endothelial in Spinal Cord	Endothelial in Spinal Cord	KIBR; Stanford University
